samples,Strain,Muscle,Group
SRR27194283_mRNAseq_of_Chinese_Dagu_chicken_male_leg_muscle.sorted.bam,DG,Leg,DGL
SRR27194284_mRNAseq_of_Chinese_Dagu_chicken_male_breast_muscle.sorted.bam,DG,Breast,DGB
SRR27194285_mRNAseq_of_Chinese_Dagu_chicken_male_breast_muscle.sorted.bam,DG,Breast,DGB
SRR27194286_mRNAseq_of_Chinese_Dagu_chicken_male_breast_muscle.sorted.bam,DG,Breast,DGB
SRR27194287_mRNAseq_of_AA_broiler_chicken_male_leg_muscle.sorted.bam,AA,Leg,AAL
SRR27194288_mRNAseq_of_AA_broiler_chicken_male_leg_muscle.sorted.bam,AA,Leg,AAL
SRR27194289_mRNAseq_of_AA_broiler_chicken_male_leg_muscle.sorted.bam,AA,Leg,AAL
SRR27194290_mRNAseq_of_AA_broiler_chicken_male_breast_muscle.sorted.bam,AA,Breast,AAB
SRR27194291_mRNAseq_of_Chinese_Dagu_chicken_male_leg_muscle.sorted.bam,DG,Leg,DGL
SRR27194292_mRNAseq_of_Chinese_Dagu_chicken_male_leg_muscle.sorted.bam,DG,Leg,DGL
SRR27194293_mRNAseq_of_AA_broiler_chicken_male_breast_muscle.sorted.bam,AA,Breast,AAB
SRR27194294_mRNAseq_of_AA_broiler_chicken_male_breast_muscle.sorted.bam,AA,Breast,AAB
