"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"STRIP2",933.970721211758,-2.24956302221979,0.365023433067485,-6.16279070994298,7.14739480376548e-10,1.37286834509145e-07
"CAMK1D",5164.51654080126,-1.35941346984949,0.253960769006795,-5.35284829686871,8.65804333329426e-08,1.07608019457848e-05
"CCDC3",213.045901714224,-1.71129159723391,0.308215701695779,-5.55225313901438,2.82010810149072e-08,3.84421671286272e-06
"SEMA3E",44.637080369498,-3.27459509249498,1.03406679739714,-3.16671524580183,0.0015417120245117,0.0397855852676661
"SLC26A5",3438.52543400331,1.04474566512744,0.258709558866654,4.03829556860685,5.38409864014373e-05,0.00294206648678855
"SYPL1",15.1510663996622,2.74566902571366,0.843349308457449,3.25567235092148,0.00113124214217636,0.0319221801823156
"NAMPTP1",10386.5121985855,1.66121780508236,0.352806401793393,4.70858180758066,2.49446250388443e-06,0.000216225126682864
"LMOD2",2847.35463375601,-4.17849535031586,0.885130395045811,-4.72076811925502,2.34955670358809e-06,0.000209023984003944
"KCND2",10.6580453880513,-2.73476604143759,0.802607063895237,-3.40735356622098,0.000655960954198424,0.0208415564075488
"CTTNBP2",1798.82220400585,1.395916643072,0.224953810435784,6.20534784615475,5.45760517199309e-10,1.08529294379058e-07
"PPP1R3A",29677.0433244814,1.22781382934926,0.261777565480788,4.69029432332838,2.72812338339025e-06,0.000231725977635404
"PRLL",12.8170977469692,2.56804068765605,0.812630325112627,3.16015857185754,0.00157683294493026,0.0403836473759941
"FAM19A2",9.15458657819195,-3.59090068823367,1.1740405392649,-3.05858321594416,0.00222386305374438,0.0498462291001628
"HIST1H4I",141.45248151098,1.17391485155437,0.283584769897682,4.1395553505145,3.47979636646076e-05,0.00203525944575385
"PVALB",12847.6867988226,-7.71302965984152,1.00251797086055,-7.69365725506218,1.42987773329159e-14,7.1085950958317e-12
"MB",23809.3777625241,-4.08655748707423,0.758917166416399,-5.38472137396882,7.25569544162387e-08,9.08466815183468e-06
"HMOX1",1967.40238871025,-1.70484088721661,0.553182954230738,-3.08187530757773,0.00205700984788473,0.047564483527764
