"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107055489",278.405025325696,-1.16402072887253,0.375121758479914,-3.10304775065417,0.00191538733046713,0.0167128593086514
"LOC124418403",8.9242753981058,6.5707627838811,2.0364393496577,3.22659390027282,0.00125273119590497,0.01197566810853
"LOC124418405",1733.92031001055,-3.8049280451569,0.356248764375636,-10.6805368204587,1.255435625816e-26,8.92564512530144e-24
"CD69L",427.684052808429,-2.63387787021129,0.420674375042646,-6.26108464520637,3.82308925212305e-10,2.53550702862818e-08
"LOC107049847",618.282109830477,-1.04691199897448,0.305140622741821,-3.43091650520841,0.000601545721994249,0.00664917516338668
"ADM2",18.6911641944125,2.18880223865766,0.605438272364461,3.61523600103703,0.000300074132766797,0.00375335512723227
"LOC112532892",12.7760236909484,1.83462507179028,0.630708225259303,2.90883327395329,0.00362780273949784,0.0270699269067316
"STRIP2",933.970721211758,-2.35723291564855,0.365095259217006,-6.45648733074197,1.07161148370987e-10,7.90324585537728e-09
"NRF1",2896.06980005796,1.19906369135794,0.206021360355578,5.82009403922217,5.88145271122232e-09,3.12984851764268e-07
"TUBAL3",411.64010998317,2.62256348560661,0.492987302769596,5.31973840071152,1.03916562685885e-07,4.11361466632276e-06
"CHCHD3",7214.59414615642,-1.30443912397227,0.265208509179859,-4.91854174666632,8.71913233827842e-07,2.64912578086428e-05
"PLXNA4",745.013946421258,-1.06430315145895,0.398202472786636,-2.67276881534893,0.00752280745515324,0.0471475245796522
"K123",39.0386165949668,-1.70174914117219,0.56413071550069,-3.01658657189374,0.0025563820853943,0.0208906368670337
"SFMBT2",206.137871459684,-1.0329899111955,0.310696944698509,-3.32475078632614,0.000884976016935039,0.00910802763462848
"CELF2",952.026790008383,1.77936786601488,0.264439489026108,6.72882810569641,1.71034960122548e-11,1.51998769060909e-09
"PROSER2",2400.38146044407,-1.20437605607026,0.395106412609407,-3.04823211578921,0.00230192047349489,0.0193083220839538
"CAMK1D",5164.51654080126,-2.62981377680238,0.253848494539582,-10.359776927463,3.77842197221491e-25,2.03508097376205e-22
"LOC121108015",413.190590833442,-2.30366545425254,0.453614083715656,-5.07846986447751,3.80486767818328e-07,1.27119770887274e-05
"MCM10",138.871230701093,1.42638975394465,0.369729594339444,3.85792691681342,0.000114352827380671,0.00170798920492777
"LOC121108053",56.2621060019412,1.21065882421421,0.381659982281508,3.17208740873766,0.00151347446398695,0.0139631477662984
"CD36",5788.28548370105,-1.42690406728436,0.465763074231159,-3.06358349605058,0.002187031647114,0.0185636583074518
