"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107055489",278.405025325696,-1.60882314584545,0.373462614060154,-4.30785595472298,1.64844677349818e-05,0.000158920838117237
"LOC121113331",212.542915850345,1.12750964581287,0.245275150679852,4.5969175543778,4.28787188121801e-06,4.99358970801435e-05
"LOC124418405",1733.92031001055,-3.92083438340866,0.355290070078857,-11.0355867320987,2.57366162303222e-28,1.71378289147985e-25
"CD69L",427.684052808429,-1.92607906758904,0.418527752054517,-4.60203429314803,4.18384294612231e-06,4.88464318913278e-05
"HCLS1",898.428116000873,-1.24805325545435,0.380405093919192,-3.28085316260111,0.00103493608383863,0.00529829304864671
"MIOX",6.73697181325914,3.18019967448267,1.05983199209471,3.0006639714632,0.0026939166795014,0.0116867391969177
"TNPO3",3196.11824216156,-1.01804059130711,0.174749853741301,-5.82570210796409,5.68729844593327e-09,1.48723253189938e-07
"AHCYL2",2321.44673184089,-1.39284373078696,0.156455448568058,-8.90249424698731,5.46055079137713e-19,1.11881285170579e-16
"STRIP2",933.970721211758,1.99363167362962,0.364830190340434,5.46454686704876,4.64090758715525e-08,9.68977849524183e-07
"NRF1",2896.06980005796,-1.34097402969597,0.205249071513143,-6.53339876185555,6.42936594551423e-11,2.82725302014417e-09
"TUBAL3",411.64010998317,1.87757256093753,0.492966703941978,3.80872084447822,0.000139687552202237,0.000970732169515732
"LOC101750035",3.763432585045,-5.38783336053733,1.6832793847948,-3.20079566660536,0.00137048682326259,0.00672617183988707
"LOC112532931",4.67750137597266,-2.63461912935022,1.05210028339047,-2.50415209552074,0.0122745255686593,0.0409187429336049
"K123",39.0386165949668,-1.48797532490849,0.574651898057387,-2.58935075293164,0.00961570950728596,0.0335865312407918
"TAF3",3953.27838541,-1.12612495430022,0.201898461985109,-5.57767970705629,2.43747923519965e-08,5.42972524973685e-07
"CAMK1D",5164.51654080126,2.02774181898679,0.254505483091843,7.96737969788669,1.62074107027447e-15,1.90054825504827e-13
"CCDC3",213.045901714224,1.37694772992002,0.307213586936893,4.48205349134793,7.39282063568344e-06,7.99067482622132e-05
"LOC121107993",4.30964507726129,4.62268991650469,1.61573556968173,2.86104360345009,0.00422248973714077,0.016985614055877
"LOC121108015",413.190590833442,-3.0016836035882,0.445191436736125,-6.74245584235567,1.55731581060524e-11,7.95511049006431e-10
"OPTN",14242.1515110749,-1.19156203571478,0.283747767312039,-4.19937061356473,2.67657921135904e-05,0.000238095512384491
"ELAPOR2",69.7662561940265,1.37695287598954,0.522269646217372,2.63647884950304,0.00837714223930432,0.0299734824509363
"SEMA3D",957.599475238374,1.95052303760091,0.464953531914627,4.19509242045947,2.72760347767478e-05,0.000241941802289468
"SEMA3A",789.951318594511,2.04487078714911,0.380725850293001,5.37097963160476,7.83100550804148e-08,1.52889107536579e-06
"SEMA3E",44.637080369498,3.86986563163435,1.05334065902071,3.67389751690793,0.000238878574423933,0.00153901681303714
"SEMA3C",5958.2415023175,1.24173089292732,0.271703417693341,4.57017031095577,4.87328014060276e-06,5.58816195783448e-05
"CD36",5788.28548370105,1.56415278661144,0.466095898324113,3.35586044038465,0.000791184831567979,0.00424450316157078
"FGL2",6771.52333531208,1.96295432354614,0.314648298819113,6.23856645948248,4.41599004044504e-10,1.57732058053827e-08
"FBXL13",9.59590148085891,1.83384042830785,0.757804805111276,2.41993771475039,0.0155231657249767,0.0492394394253473
"LRRC17",920.981880703404,3.98003544339827,0.616144015265615,6.45958630578033,1.04989595709403e-10,4.33082082301289e-09
