"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC107055489",278.405025325696,-1.14673773073145,0.374023478420879,-3.06595119529115,0.00216978728692814,0.0234442548558424
"LOC124418403",8.9242753981058,6.23363932188465,2.03695606323445,3.06027186074223,0.00221136162670365,0.0237778230810833
"LOC124418405",1733.92031001055,-3.732742773034,0.355300630073016,-10.5058715270696,8.1169537797176e-26,2.40451227467834e-22
"CD69L",427.684052808429,-2.21428904133798,0.418145855857199,-5.29549440780344,1.18694826594779e-07,9.95132947120567e-06
"ADM2",18.6911641944125,1.86494947428297,0.606223412985042,3.07634023090591,0.00209558575229562,0.0228789564872865
"TUBAL3",411.64010998317,2.07669062370522,0.493178879873834,4.21082635216755,2.544382704964e-05,0.000745730246695554
"LOC101750035",3.763432585045,-4.9234883912822,1.69213563515445,-2.90962987185882,0.00361857010243074,0.0337619238848315
"CHCHD3",7214.59414615642,-1.45062622602081,0.265186692149121,-5.47020747634305,4.49509051118469e-08,4.29546982504283e-06
"K123",39.0386165949668,-2.15823052430882,0.56811456169745,-3.79893540813374,0.000145318955417909,0.00302447202997414
"CELF2",952.026790008383,1.25500061173558,0.264629726487162,4.74247783268772,2.11119936439759e-06,0.000100601762742099
"CAMK1D",5164.51654080126,-1.27040030695288,0.253376131082285,-5.01389101462093,5.33402069017599e-07,3.42263118220895e-05
"CCDC3",213.045901714224,1.54261483074196,0.30733363180534,5.01934923841669,5.18468167743775e-07,3.33885985995574e-05
"LOC121108015",413.190590833442,-1.27486571124646,0.446788115776834,-2.85340112287867,0.0043253986006762,0.0382105540399696
"SEMA3A",789.951318594511,1.56532248757618,0.379671046821787,4.12283870650511,3.74231750431188e-05,0.00102175040432626
"FGL2",6771.52333531208,1.09572665540592,0.314440091188546,3.48469131675992,0.000492705088974054,0.0077098640493396
"LRRC17",920.981880703404,2.97081701844724,0.613616516655511,4.84148802682097,1.28870441984875e-06,6.71713558897118e-05
"SLC26A4",13.2279422349847,-2.339231490342,0.755739201290843,-3.09528933572119,0.00196620990975786,0.0218561566126968
"DLD",9097.75756460527,-1.23388131657792,0.24973621054201,-4.94073852526229,7.78272194950389e-07,4.58839155438011e-05
"LOC112533030",40.2871239823749,1.49117626102172,0.513937035236061,2.9014765599385,0.00371408564753339,0.0344182264333986
"LAMB4",35.1195402524206,1.55680117586174,0.493095366798597,3.1572009811595,0.00159291514728234,0.0186201091380536
"GRAMD4",2278.41873897062,-1.68426885462355,0.430800552582748,-3.90962556692644,9.2439294885249e-05,0.00213378704842911
"NDUFA5",6940.86046471856,-1.30379673781942,0.282632280848953,-4.6130496272512,3.96803511710753e-06,0.000166339283423277
"IQUB",168.804624774254,-1.98833647800564,0.351614876041568,-5.6548701818025,1.55964108649412e-08,1.75449751084472e-06
"CPED1",639.915503542155,-1.30842664036163,0.382802065761802,-3.41802397998498,0.000630775491656134,0.0093350571096554
"LOC121107739",31.8907164063509,2.28918972389032,0.73608819889636,3.10993944383645,0.0018712570309752,0.0210382383211734
"ADAMTS20",1880.09641254058,3.01025753408668,0.372571911659055,8.07966848784189,6.49430762222435e-16,5.84008313885809e-13
"LOC121106856",256.545623142607,-1.78641932134325,0.411005021068762,-4.34646593050838,1.38348528700497e-05,0.000457064451509784
"LOC121106859",42.329137568108,-2.04263412241007,0.543407380641685,-3.75893702437021,0.000170636777201048,0.00338045968630584
"PRLL",12.8170977469692,-2.45759706461362,0.814547745803614,-3.01713076645864,0.00255179705162243,0.0265237665470977
"SLC38A4",930.58307108949,-1.54823871100193,0.484179388291007,-3.19765514279057,0.00138549861086242,0.0168670221297731
"PPM1H",135.509325368796,-1.0879941697728,0.340818355802989,-3.19229921525035,0.00141145036602879,0.0170736959578341
"LYZ",93.4564827353373,-2.04303096484473,0.579182523887167,-3.52743889980138,0.000419600591489202,0.00685476186868482
"KCNMB4",42.7815764502721,1.35911495373637,0.405716785653074,3.34991058244885,0.000808376515076261,0.0113491976137168
"KCNC2",111.069754068071,-1.86581738032222,0.397662253721474,-4.69196501015924,2.70593413885399e-06,0.000123638234920285
"GLIPR1",73.7342935817283,-1.81818811586519,0.566366946075509,-3.21026523257377,0.00132612545863702,0.0163613060809608
"E2F7",210.277800602739,1.55715844356696,0.351629547332964,4.42840613190125,9.49320179608252e-06,0.000340873068128426
"OTOGL",116.692808022132,1.06271080262964,0.361807616524759,2.93722617792629,0.00331162479438166,0.0318510925840582
"KERA",20.722453689368,5.84577274628276,1.48294356893285,3.94200620222484,8.08028865760599e-05,0.00191237084687468
