"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC112532892",12.7760236909484,1.9229882001785,0.632309294382117,3.04121450888621,0.00235625898085688,0.0179243229313339
"AHCYL2",2321.44673184089,1.17871251931334,0.15652017670416,7.53073849093098,5.04541461851854e-14,6.0916173783442e-12
"STRIP2",933.970721211758,-2.10130156705839,0.364902054546654,-5.75853586154507,8.48466430836546e-09,4.14497921399715e-07
"NRF1",2896.06980005796,1.93301595129181,0.205840049919027,9.39086417853188,5.9509965606957e-21,1.57171398227249e-18
"CELF2",952.026790008383,1.36035443193866,0.264916338828166,5.13503409399385,2.82092880332526e-07,9.13451332616988e-06
"CAMK1D",5164.51654080126,-3.29814212593968,0.25439344901534,-12.9647290003164,1.93914515802141e-38,1.72512476873873e-35
"LOC121107993",4.30964507726129,-5.47178248319555,1.60422269163711,-3.41086216503494,0.00064757818834298,0.00631986958288764
"LOC121108015",413.190590833442,1.72681789234174,0.442819821376858,3.89959484417962,9.63537881159887e-05,0.00135383880342856
"MCM10",138.871230701093,1.14735168087947,0.371425286896125,3.089051072606,0.00200796917379116,0.0158898422025243
"CD36",5788.28548370105,-2.64626633779097,0.466046839059176,-5.67811240418039,1.36189214425186e-08,6.25545187888295e-07
"SYPL1",15.1510663996622,2.8643183711835,0.9937253315112,2.88240450389607,0.00394652741455249,0.026481997970695
"NAMPTP1",10386.5121985855,1.98948885392495,0.352808784709527,5.6390003314768,1.71040207202558e-08,7.56830529409644e-07
"ALG12",1024.214084744,-1.08546984817519,0.313482186978004,-3.46262050370138,0.000534942311719512,0.00539828650447458
"SELENOO",1966.74200240755,1.11705706712019,0.349222407949683,3.19869814104581,0.00138049631524095,0.0117851157659181
"LOC121109515",7.20366547652239,-3.10345030773761,1.05993134049373,-2.92797296312796,0.00341179711975031,0.023869870329114
"GPR37",114.309805027116,-3.2950535623423,0.711351114363889,-4.63210571517671,3.61965233370302e-06,8.17954323483718e-05
"LMOD2",2847.35463375601,-6.36018017130463,0.889431916927122,-7.15083420131612,8.62521175717029e-13,8.47627641461915e-11
"ASB15",3154.75920756839,1.32292120772725,0.236107810228282,5.60303874085393,2.1062612438956e-08,9.08217699121615e-07
"WNT16",149.028183564381,-2.84883229268276,1.04780080683998,-2.71886819907538,0.00655057041784833,0.039180570337187
"CPED1",639.915503542155,-1.64467295015225,0.383808938886131,-4.2851345644146,1.82628613494854e-05,0.000331220113079776
"KCND2",10.6580453880513,-2.73145883211682,1.01468206272246,-2.69193566385527,0.00710386476726715,0.0418233235801054
"CTTNBP2",1798.82220400585,3.06001157323822,0.226725232002519,13.4965638637178,1.63841266970766e-41,1.97814923971918e-38
"CAPZA2",15536.8642067684,1.17765142631531,0.213679747842471,5.51129172608113,3.56209759261409e-08,1.44388814407568e-06
"LOC121106667",34.0923032786598,3.04011448534211,0.715990459439237,4.24602652907292,2.17594878380798e-05,0.000387975340640362
"CAV1",10888.2659801145,-1.14306003481098,0.182537426538614,-6.26205845281363,3.79928461421093e-10,2.48912045868246e-08
"CAV2",2875.11520120288,-1.03191968468885,0.198384707384358,-5.20160902669565,1.97570514556613e-07,6.63923341461318e-06
"TES",1175.81234218554,-1.49454135992566,0.376982737063537,-3.96448222421858,7.35554273819653e-05,0.00109253724871473
"PPP1R3A",29677.0433244814,1.83320010596607,0.261791333721857,7.00252403279999,2.51391744425472e-12,2.3738964558792e-10
"DNAJB9",3832.7129412891,-1.19672112266038,0.350374199696851,-3.41555149807206,0.000636529921050293,0.00623725522058731
"THAP5",1175.00808962152,-1.58484933215057,0.267025439486396,-5.93519978919954,2.9348788806733e-09,1.58492836166201e-07
"NRCAM",61.1095405024615,-1.65002709186799,0.539252849260538,-3.05983935760492,0.0022145573969171,0.0170613781586553
"ADAMTS20",1880.09641254058,-1.00591049049724,0.377586296750097,-2.66405454635182,0.00772050427401857,0.0443876475318829
"LOC121106859",42.329137568108,-1.98499136105803,0.549976237649119,-3.60923113613582,0.000307105887692302,0.00346067387977532
"SLC38A1",2112.80479455529,-1.0102085460904,0.289179342485709,-3.49336345192196,0.000476976847369913,0.00492507003732049
"SLC38A2",9750.2991545938,-1.85823875143204,0.465565799930926,-3.99135579054075,6.56966325837887e-05,0.000994154145536061
"LOC124417321",11.949532940028,-2.90202871640436,0.919984994409591,-3.15443048966984,0.00160811681364917,0.0133049429765599
"LOC112533248",38.5289333769906,-1.87645203553248,0.709129727433868,-2.64613365219198,0.00814176411449325,0.0462900231507835
"SLC38A4",930.58307108949,-2.94763536772318,0.48615838258877,-6.06311743927394,1.33508105017691e-09,7.75493985949841e-08
"SLC16A7",1006.98075175642,-2.24630346095129,0.535476731134876,-4.19495998675895,2.72919762430933e-05,0.00046834139536752
"CPM",889.430305517492,-1.29759510940077,0.245755898262313,-5.28001614030746,1.29172507215188e-07,4.51116299474859e-06
"LYZ",93.4564827353373,1.55303094942228,0.556422961538799,2.79109788195537,0.00525295840554028,0.0331804020660865
"TRHDE",36.0800768213219,-1.93124229288798,0.684415394932955,-2.82173999472522,0.00477638842677712,0.0307797535561623
"KCNC2",111.069754068071,-3.20035846120681,0.418876064812239,-7.64034694281557,2.16637186188555e-14,2.77917520687733e-12
"PHLDA1",1458.7796680736,-1.10634009402951,0.343948617394754,-3.2165853795532,0.00129725927442931,0.011216150135897
"E2F7",210.277800602739,1.2963888839137,0.353684732986612,3.66537982277786,0.000246971767031552,0.00290303461622692
"MYF5",654.460836928939,1.01995492195365,0.318522358166342,3.20214545636699,0.00136408100552689,0.0116920587283611
"ATP2B1",2144.29380765068,-1.47158892426118,0.280583632715322,-5.2447425746827,1.56500679884774e-07,5.39863467773946e-06
"LOC101750670",96.6759506068753,-2.58143105903429,0.48398350105105,-5.33371706561957,9.6222414013088e-08,3.50527470703281e-06
"NTN4",1639.49939924834,-1.09209442364219,0.237599149215833,-4.59637346028602,4.29907857668589e-06,9.54892577946407e-05
"LOC112531638",26.5799654893338,-1.0214594645376,0.371715569753013,-2.74795985870678,0.00599673502869406,0.036819038209232
"ANO4",19.6148756541627,1.60346500810231,0.553128981081407,2.89889892402207,0.00374475592963575,0.0255232296284811
"HIST1H4I",141.45248151098,1.3680124970159,0.273506190961241,5.00176062636098,5.68091006544021e-07,1.67289935254592e-05
"HIST1H101",2888.15445363195,1.71203016989976,0.298763576067086,5.73038451486246,1.00203228881245e-08,4.7470583922706e-07
"LOC121106438",24.4975626382344,2.20720313561662,0.523578361525948,4.21561183159635,2.49101911101703e-05,0.000435876770533342
"LOC417962",374.723460545304,-1.60733148744044,0.491982938500043,-3.26704721172013,0.0010867555522983,0.00974505522572845
"EMP1",3102.14210983196,-2.4265428224563,0.53210404427908,-4.56027885625997,5.10857361531492e-06,0.000110847522233207
"PMM1",674.608901216176,-1.48079477379643,0.294476126668345,-5.02857325159056,4.9414274388096e-07,1.48885825308732e-05
"MAFF",2296.43479836473,-1.00577415957128,0.324235023954508,-3.10199110294882,0.00192223735535386,0.0153406883935535
"ANKRD54",2077.13127633183,1.06485942245151,0.1736626039433,6.13177159775389,8.69058132548813e-10,5.26512172561741e-08
"LGALS1A",1523.17846443216,-1.80737577169512,0.490155125890643,-3.68735462760082,0.000226597467014435,0.002708753171814
"LGALS2",209.491997040288,1.19035029473893,0.41150741116488,2.8926582181578,0.00381996730142687,0.0258347995507642
"C1QTNF6",1078.51432478514,-1.86720733415378,0.614988472476032,-3.03616639615396,0.00239607093779713,0.0181536472709928
"PVALB",12847.6867988226,-8.58770299826134,1.00659497266152,-8.53143839528103,1.44539177441674e-17,2.87428907799603e-15
"MB",23809.3777625241,-6.73989019200312,0.756624478814085,-8.90784052158485,5.20361773343614e-19,1.1886047371388e-16
"HMOX1",1967.40238871025,-2.39272366844612,0.55311418027246,-4.32591272071072,1.5190156404108e-05,0.000283480683279511
"TIMP3",32756.6170996651,-1.53264374097934,0.343363841688098,-4.46361426248124,8.05885908383148e-06,0.000165314193075247
"PRDM4",2271.33659162211,1.29125307899716,0.381775353760676,3.38223268285309,0.000718992161968084,0.00690126321053182
"CHST11",151.534878705435,-1.10625459900477,0.40546859692275,-2.72833607189445,0.00636547196516802,0.0384407190522454
"PAH",15.753423352486,3.53102775945195,1.04733439843397,3.37144255428994,0.000747756315273779,0.00712877890415831
"LOC121109115",20.5667179662601,4.97021785010869,1.44262345340621,3.44526344582392,0.000570503070708277,0.00568585696001297
"MYBPC1",27735.2998572144,-4.4552437183547,0.523075496646883,-8.51740092379501,1.63173841221077e-17,3.20712492809286e-15
"RAB19",325.036415224872,2.38291936145045,0.29052351410073,8.2021566096858,2.36112422009831e-16,4.03132148407291e-14
"PTN",398.593175531061,-3.15747225003904,0.623719907047503,-5.06232399248814,4.14176377890073e-07,1.28691605063895e-05
"MTPN",6767.44080954883,-1.7720653169824,0.281444601528132,-6.2963201545199,3.04794532805868e-10,2.02036940706572e-08
"DENND5B",396.903421052615,-1.31022286216387,0.299446326464911,-4.37548484107854,1.21162862626328e-05,0.000233525184375464
"WNK1",8222.21611335874,1.06155778530341,0.268538622378475,3.95309164805077,7.71478708431367e-05,0.00113295435348526
"ADIPOR2",7134.45181850205,1.29898088407699,0.121344089782025,10.7049373925866,9.64958697250251e-27,3.79318531619093e-24
"LRTM2",21.5666484993966,-2.85017049537131,0.924245456481702,-3.08378091056132,0.0020438805117867,0.0160870744294038
"LOC107053352",376.755530632728,1.51337914902236,0.273167549019694,5.54011321788906,3.02276157564503e-08,1.25846647569281e-06
"BPGM",29817.425445655,3.75510682788145,0.298961573590958,12.5604999424415,3.4812609452005e-36,2.5584240763793e-33
"LOC107053343",485.121593974104,1.86846688761619,0.18631925011772,10.0283083279675,1.14460789768497e-23,3.72063601818635e-21
"CALD1",6741.82233545239,-1.04296438878846,0.235286189963359,-4.43274800340334,9.30395863784915e-06,0.000186775312180005
"RERG",1044.34059340433,-2.50540197966108,0.313570475827492,-7.98991669432362,1.35029966920475e-15,2.12790487674464e-13
"PTPRO",17.7523620248945,-3.08987986292654,0.869011242474378,-3.55562702978223,0.000377078696691715,0.00407009017252877
"EPS8",1825.04853292857,-1.0777371600782,0.221223632981364,-4.87170898314012,1.10637052051665e-06,3.03095314559043e-05
"LDHB",4848.36740619397,-1.67864684148908,0.332522901104607,-5.04821423099818,4.45958910707046e-07,1.37304981196379e-05
"LOC418209",4.10793706405576,-5.33463052348578,1.64640004412672,-3.24017880254331,0.00119454768318722,0.0104727383241253
"LOC101750972",59.3547788479007,-2.09906991209061,0.698803190322734,-3.00380699624622,0.00266624404730623,0.0197059567693998
"TTLL1",135.977016353602,1.14232757396923,0.288441430708375,3.96034498637669,7.48415628981424e-05,0.00110774688061935
"SCUBE1",225.164627338351,-1.50978369056756,0.503100114641775,-3.00096073649789,0.00269129264772338,0.01983039216411
"LOC112530121",21.2263977716828,-1.57664153947295,0.53378954715621,-2.95367630908582,0.00314013180190684,0.0223861863549689
"LOC124417680",19.0019845285008,2.21587084320393,0.543257780160172,4.0788570806121,4.52576474862679e-05,0.000723737006112003
"LOC112530139",120.287482075402,3.05661516911568,0.333245870531889,9.17225219996593,4.6323772913658e-20,1.13479816457907e-17
"VAMP1",521.896337966497,1.11227105389217,0.238047085958423,4.67248338459575,2.97579596693847e-06,6.91882795449256e-05
"CNP1",115.991858665881,3.36565577284992,0.391562751718807,8.59544417357373,8.29433402923656e-18,1.70974546458763e-15
"GAPDH",1672362.25171525,1.79723526008414,0.293347503293366,6.12664242888336,8.97528644825109e-10,5.37976123527618e-08
"TPI1",92070.9871672643,2.61629512851423,0.230366846555158,11.3570818355054,6.83911206202926e-30,3.40004444660237e-27
"GSTK1",2147.74430801212,-1.39252798552457,0.286066408079393,-4.86784867497654,1.12819664018815e-06,3.07890052845092e-05
"TBX15",5512.10268990785,-1.8241378988286,0.370428017001823,-4.92440586323043,8.46170507551497e-07,2.38380334819049e-05
"ATP6V1A",1952.53578247964,-1.04709765770469,0.314266389692173,-3.33187923382559,0.000862616806659569,0.00807989167004424
"LOC107054727",183.949793467082,1.70835861657942,0.285571488240374,5.98224503120368,2.20082854750631e-09,1.20781184865257e-07
"STXBP5L",697.049593682981,3.0377402928744,0.835581832521189,3.63547910527048,0.000277464483812085,0.00318829515287265
"LRRC58",854.459084471621,-1.09176859534882,0.226208970401531,-4.82637179865538,1.39042827347321e-06,3.66081138730806e-05
"LOC121106553",9.31471899497317,4.25635874233701,1.00507964182903,4.23484723518163,2.28707130307941e-05,0.000405223964737435
"LOC101749284",19.1191710015792,2.01946049764611,0.552614053141347,3.65437774549242,0.000257806469567283,0.00300531224489364
"CFAP44",103.142310904949,3.76852629987791,0.632132232171301,5.96161073282636,2.49763572711445e-09,1.35747706416127e-07
