"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0006096","glycolytic process","9/262","22/11749",0.409090909090909,18.3450728660652,12.2976834693099,4.59127689927695e-10,9.36922691258977e-08,8.29648071022492e-08,"BPGM/TIGAR/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",9,"BP"
"GO:0009137","purine nucleoside diphosphate catabolic process","9/262","22/11749",0.409090909090909,18.3450728660652,12.2976834693099,4.59127689927695e-10,9.36922691258977e-08,8.29648071022492e-08,"BPGM/TIGAR/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",9,"BP"
"GO:0009181","purine ribonucleoside diphosphate catabolic process","9/262","22/11749",0.409090909090909,18.3450728660652,12.2976834693099,4.59127689927695e-10,9.36922691258977e-08,8.29648071022492e-08,"BPGM/TIGAR/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",9,"BP"
"GO:0009191","ribonucleoside diphosphate catabolic process","9/262","22/11749",0.409090909090909,18.3450728660652,12.2976834693099,4.59127689927695e-10,9.36922691258977e-08,8.29648071022492e-08,"BPGM/TIGAR/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",9,"BP"
"GO:0046032","ADP catabolic process","9/262","22/11749",0.409090909090909,18.3450728660652,12.2976834693099,4.59127689927695e-10,9.36922691258977e-08,8.29648071022492e-08,"BPGM/TIGAR/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",9,"BP"
"GO:0009135","purine nucleoside diphosphate metabolic process","9/262","23/11749",0.391304347826087,17.5474610023233,11.9963642350381,7.39675808888666e-10,9.36922691258977e-08,8.29648071022492e-08,"BPGM/TIGAR/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",9,"BP"
"GO:0009179","purine ribonucleoside diphosphate metabolic process","9/262","23/11749",0.391304347826087,17.5474610023233,11.9963642350381,7.39675808888666e-10,9.36922691258977e-08,8.29648071022492e-08,"BPGM/TIGAR/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",9,"BP"
"GO:0019364","pyridine nucleotide catabolic process","9/262","23/11749",0.391304347826087,17.5474610023233,11.9963642350381,7.39675808888666e-10,9.36922691258977e-08,8.29648071022492e-08,"BPGM/TIGAR/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",9,"BP"
"GO:0046031","ADP metabolic process","9/262","23/11749",0.391304347826087,17.5474610023233,11.9963642350381,7.39675808888666e-10,9.36922691258977e-08,8.29648071022492e-08,"BPGM/TIGAR/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",9,"BP"
"GO:0072526","pyridine-containing compound catabolic process","9/262","24/11749",0.375,16.8163167938931,11.7134237374654,1.16056816822291e-09,1.32304771177412e-07,1.17156302455345e-07,"BPGM/TIGAR/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",9,"BP"
"GO:0009134","nucleoside diphosphate catabolic process","10/262","33/11749",0.303030303030303,13.588942863752,10.9366888091775,1.50981483401019e-09,1.56471719161056e-07,1.38556212996724e-07,"BPGM/TIGAR/TPI1/ENTPD6/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",10,"BP"
"GO:0009185","ribonucleoside diphosphate metabolic process","9/262","25/11749",0.36,16.1436641221374,11.4470181695039,1.77828379461299e-09,1.68936960488234e-07,1.49594224476654e-07,"BPGM/TIGAR/TPI1/PGK2/PGAM1/PKLR/GPI/ALDOA/ALDOA",9,"BP"
"GO:0005975","carbohydrate metabolic process","22/262","224/11749",0.0982142857142857,4.40427344601963,7.76885978846464,5.34377300092791e-09,4.5502544350811e-07,4.02926500761106e-07,"PPP1R3A/BPGM/TIGAR/GAPDH/TPI1/RGN/PGM2L1/PHKA1/PGK2/LOC428824/GANC/PGAM1/AGL/PGM1/PKLR/PHKB/GPI/ST6GALNAC4/GPD1/ALDOA/ALDOA/FBP2",22,"BP"
