"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0030198","extracellular matrix organization","19/849","66/11749",0.287878787878788,3.98384909162294,6.78413059272516,1.14603242137872e-07,8.81748236482539e-05,7.95113355697098e-05,"LAMB1/LAMB4/ADAMTS20/POSTN/MMP10/CRTAP/MMP16/HAS2/VIT/ADAMTS3/LOC423605/ADAMTS17/ADAMTS7/ADAMTS18/TGFBI/MMP23A/ADAMTS12/ADAMTS6/ADAMTS19",19,"BP"
"GO:0045229","external encapsulating structure organization","19/849","66/11749",0.287878787878788,3.98384909162294,6.78413059272516,1.14603242137872e-07,8.81748236482539e-05,7.95113355697098e-05,"LAMB1/LAMB4/ADAMTS20/POSTN/MMP10/CRTAP/MMP16/HAS2/VIT/ADAMTS3/LOC423605/ADAMTS17/ADAMTS7/ADAMTS18/TGFBI/MMP23A/ADAMTS12/ADAMTS6/ADAMTS19",19,"BP"
"GO:0043062","extracellular structure organization","19/849","67/11749",0.283582089552239,3.92438865741962,6.69940844314006,1.49280175476728e-07,8.81748236482539e-05,7.95113355697098e-05,"LAMB1/LAMB4/ADAMTS20/POSTN/MMP10/CRTAP/MMP16/HAS2/VIT/ADAMTS3/LOC423605/ADAMTS17/ADAMTS7/ADAMTS18/TGFBI/MMP23A/ADAMTS12/ADAMTS6/ADAMTS19",19,"BP"
"GO:0008652","amino acid biosynthetic process","15/849","48/11749",0.3125,4.3245730270907,6.44121167047428,7.71948489050494e-07,0.000336257536908153,0.000303219045400129,"PAH/CYLY/CBS/ASNS/PYCRL/LGSN/CARNS1/NOXRED1/GOT1/ALDH18A1/GAD1/PHGDH/GSL/PSAT1/DHFR",15,"BP"
"GO:0048468","cell development","61/849","448/11749",0.136160714285714,1.88427824751809,5.32588857915194,9.90239840826588e-07,0.000336257536908153,0.000303219045400129,"SEMA3A/LAMB4/LRTM2/PTPRO/PTHLH/EPHB6/EPHA3/ROBO1/CHODL/DCLK1/NRP1/EOMES/MTURN/TMEM108/NRN1/ZPBP1/FHOD3/TOX/STMN2/CSMD3/ARMC2/MCF2/TENM1/SCLT1/SLIT2/LRRC4C/CXCL12/COL6A1/CCDC141/LOC107054133/ALPK3/MAP1A/TDRD12/SEMA3DL/DNASE1L3/CHL1/SLIT3/DBN1/CYFIP2/ITK/SOX8/CFAP73/NEFH/TNFSF8/NPTX1/NF2L/STMN3/RUNX3/ROBO3/CD3E/CD3D/PLXNA2/TCAP/JAK3/RNF165/EMB/MAP1B/PGM5/ANXA1/NREP/TMOD1",61,"BP"
"GO:0061564","axon development","28/849","144/11749",0.194444444444444,2.69084543907865,5.69751069512319,1.18765818223891e-06,0.000336257536908153,0.000303219045400129,"SEMA3A/LAMB4/LRTM2/PTPRO/EPHB6/EPHA3/ROBO1/CHODL/NRP1/SLIT2/LRRC4C/CXCL12/CCDC141/LOC107054133/MAP1A/SEMA3DL/CHL1/SLIT3/DBN1/CYFIP2/NEFH/NPTX1/ROBO3/PLXNA2/RNF165/EMB/MAP1B/NREP",28,"BP"
"GO:1901605","alpha-amino acid metabolic process","24/849","113/11749",0.212389380530973,2.9391788361112,5.78066488379283,1.32833112774101e-06,0.000336257536908153,0.000303219045400129,"PAH/THL/CYLY/CBS/P4HA3/ASNS/CRTAP/PYCRL/GNMT/LGSN/TDO2/NOXRED1/C14orf159/GOT1/ALDH18A1/KMO/PHGDH/DDAH1/HDC/DAO/GSL/AGXT2/PSAT1/DHFR",24,"BP"
"GO:0016053","organic acid biosynthetic process","23/849","111/11749",0.207207207207207,2.86746463778266,5.51692734830706,3.43702303401126e-06,0.000566380090427964,0.00051073124466535,"PAH/CYLY/CBS/HACD1/ASNS/ABHD3/PYCRL/LGSN/CARNS1/NOXRED1/ELOVL3/SCD/GOT1/ALDH18A1/KMO/GAD1/PHGDH/GATM/GSL/GAMT/ANXA1/PSAT1/DHFR",23,"BP"
"GO:0046394","carboxylic acid biosynthetic process","23/849","111/11749",0.207207207207207,2.86746463778266,5.51692734830706,3.43702303401126e-06,0.000566380090427964,0.00051073124466535,"PAH/CYLY/CBS/HACD1/ASNS/ABHD3/PYCRL/LGSN/CARNS1/NOXRED1/ELOVL3/SCD/GOT1/ALDH18A1/KMO/GAD1/PHGDH/GATM/GSL/GAMT/ANXA1/PSAT1/DHFR",23,"BP"
"GO:0170034","L-amino acid biosynthetic process","13/849","41/11749",0.317073170731707,4.38785946163349,6.06454918691642,3.51590349588465e-06,0.000566380090427964,0.00051073124466535,"PAH/CYLY/CBS/ASNS/PYCRL/LGSN/NOXRED1/GOT1/ALDH18A1/PHGDH/GSL/PSAT1/DHFR",13,"BP"
