"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0006091","generation of precursor metabolites and energy","53/973","134/11749",0.395522388059701,4.77594299826663,13.2092396465873,1.43642358373726e-23,2.56401609697101e-20,2.16219549973082e-20,"NDUFA5/PPP1R3A/ACO2/BPGM/ETFRF1/TIGAR/TPI1/GBE1/ATP5O/SUCLA2/CYCS/SDHA/UQCRB/COX6C/MDH1/UGP2/FDX1B/PHKA1/PGK2/ETFDH/PPP1R3B/IDH3B/NDUFV1/SLC25A22/PGAM1/NDUFS1/AGL/PFKL/PASK/PKLR/COX5A/IDH3A/PHKB/UQCRFS1/GPI/COX4I1/UQCRQ/ATP5J2/NDUFB6/COX6A1/MDH2/ATP5E/SDHB/NDUFS2/NDUFS7/PFKM/COQ10A/CS/ATP5B/ALDOA/ALDOA/NNT/ALDOB",53,"BP"
"GO:0015980","energy derivation by oxidation of organic compounds","38/973","94/11749",0.404255319148936,4.88139336555072,11.3528537904952,1.23446194291776e-17,1.1017572840541e-14,9.29095041248631e-15,"NDUFA5/PPP1R3A/ACO2/ETFRF1/GBE1/ATP5O/SUCLA2/CYCS/SDHA/UQCRB/COX6C/MDH1/UGP2/PHKA1/PPP1R3B/IDH3B/NDUFV1/SLC25A22/NDUFS1/AGL/PASK/COX5A/IDH3A/PHKB/UQCRFS1/COX4I1/UQCRQ/ATP5J2/NDUFB6/COX6A1/MDH2/ATP5E/SDHB/NDUFS2/NDUFS7/COQ10A/CS/ATP5B",38,"BP"
"GO:0019752","carboxylic acid metabolic process","72/973","332/11749",0.216867469879518,2.61868027092956,8.99008322987715,1.36010065714603e-14,7.9009185556597e-12,6.66272359404003e-12,"PAH/THL/BPGM/BCAT1/LDHB/TIGAR/TPI1/PDHA2/CRYL1/HACD1/ASNS/GADL1/DECR1/MDH1/GNMT/EPHX1L/EGLN1/ECHDC1/DDO/LGSN/HADHA/HADHB/PGK2/ACSL1/IDH3B/CARNS1/TPH1/LDHA/LOC428872/EGLN3/NOXRED1/GOT1/PGAM1/OAT/ACADL/GLS2/GLUL/NPL/PTGS2/CTH/PFKL/CYP2AB5/PKLR/IDH3A/GATM/IDH2/GPI/GCSH/ACSF3/FGFR4/NDUFAB1/ABAT/HPD/DAO/ACACB/ACADS/MDH2/PSPH/DLAT/GAMT/LOC107050163/GCDH/PFKM/CS/ALDOA/ALDOA/AGXT2/HACD4/PSAT1/ALDOB/CDO1/LOC121108947",72,"BP"
"GO:0045333","cellular respiration","30/973","73/11749",0.410958904109589,4.96233932619071,10.2041221660873,1.97353409853538e-14,7.9009185556597e-12,6.66272359404003e-12,"NDUFA5/ACO2/ETFRF1/ATP5O/SUCLA2/CYCS/SDHA/UQCRB/COX6C/MDH1/IDH3B/NDUFV1/SLC25A22/NDUFS1/COX5A/IDH3A/UQCRFS1/COX4I1/UQCRQ/ATP5J2/NDUFB6/COX6A1/MDH2/ATP5E/SDHB/NDUFS2/NDUFS7/COQ10A/CS/ATP5B",30,"BP"
"GO:0043436","oxoacid metabolic process","72/973","335/11749",0.214925373134328,2.59522940283168,8.90094695657238,2.21314245256574e-14,7.9009185556597e-12,6.66272359404003e-12,"PAH/THL/BPGM/BCAT1/LDHB/TIGAR/TPI1/PDHA2/CRYL1/HACD1/ASNS/GADL1/DECR1/MDH1/GNMT/EPHX1L/EGLN1/ECHDC1/DDO/LGSN/HADHA/HADHB/PGK2/ACSL1/IDH3B/CARNS1/TPH1/LDHA/LOC428872/EGLN3/NOXRED1/GOT1/PGAM1/OAT/ACADL/GLS2/GLUL/NPL/PTGS2/CTH/PFKL/CYP2AB5/PKLR/IDH3A/GATM/IDH2/GPI/GCSH/ACSF3/FGFR4/NDUFAB1/ABAT/HPD/DAO/ACACB/ACADS/MDH2/PSPH/DLAT/GAMT/LOC107050163/GCDH/PFKM/CS/ALDOA/ALDOA/AGXT2/HACD4/PSAT1/ALDOB/CDO1/LOC121108947",72,"BP"
"GO:0006082","organic acid metabolic process","74/973","351/11749",0.210826210826211,2.54573191263839,8.83452090869091,2.7327286080047e-14,8.12986760881397e-12,6.85579282359073e-12,"PAH/THL/BPGM/BCAT1/LDHB/TIGAR/TPI1/PDHA2/CRYL1/HACD1/ASNS/GADL1/DECR1/MDH1/GNMT/EPHX1L/EGLN1/ECHDC1/DDO/LGSN/HADHA/HADHB/PGK2/ACSL1/IDH3B/CARNS1/CYP2R1/TPH1/LDHA/LOC428872/EGLN3/NOXRED1/GOT1/PGAM1/OAT/ACADL/GLS2/GLUL/NPL/PTGS2/CYP2J19/CTH/PFKL/CYP2AB5/PKLR/IDH3A/GATM/IDH2/GPI/GCSH/ACSF3/FGFR4/NDUFAB1/ABAT/HPD/DAO/ACACB/ACADS/MDH2/PSPH/DLAT/GAMT/LOC107050163/GCDH/PFKM/CS/ALDOA/ALDOA/AGXT2/HACD4/PSAT1/ALDOB/CDO1/LOC121108947",74,"BP"
"GO:0046034","ATP metabolic process","24/973","49/11749",0.489795918367347,5.91429829897015,10.3580075098175,6.98090832876091e-14,1.78013162383403e-11,1.50115773084633e-11,"BPGM/TIGAR/TPI1/ATP5J/ATP5O/PGK2/LOC121108649/PGAM1/PFKL/PKLR/GPI/ATP5J2/AK1/ATP5H/ATP5E/ATP5G1/PFKM/ATP5B/ALDOA/ALDOA/ATP5F1AW/ATP5F1AZ/ATP5I/ALDOB",24,"BP"
"GO:0009060","aerobic respiration","26/973","66/11749",0.393939393939394,4.75682830359089,9.1965666851571,3.54517092717588e-12,7.91016263126117e-10,6.67051898139672e-10,"ACO2/ATP5O/SUCLA2/CYCS/SDHA/UQCRB/COX6C/MDH1/IDH3B/NDUFV1/NDUFS1/COX5A/IDH3A/UQCRFS1/COX4I1/UQCRQ/ATP5J2/NDUFB6/COX6A1/MDH2/ATP5E/SDHB/NDUFS2/NDUFS7/CS/ATP5B",26,"BP"
"GO:0009205","purine ribonucleoside triphosphate metabolic process","24/973","58/11749",0.413793103448276,4.99656235602651,9.16820588924066,6.85395359101477e-12,1.35936746221793e-09,1.14633375849721e-09,"BPGM/TIGAR/TPI1/ATP5J/ATP5O/PGK2/LOC121108649/PGAM1/PFKL/PKLR/GPI/ATP5J2/AK1/ATP5H/ATP5E/ATP5G1/PFKM/ATP5B/ALDOA/ALDOA/ATP5F1AW/ATP5F1AZ/ATP5I/ALDOB",24,"BP"
"GO:0009144","purine nucleoside triphosphate metabolic process","24/973","60/11749",0.4,4.83001027749229,8.9370972326078,1.63867255045772e-11,2.65911863869731e-09,2.24239401641583e-09,"BPGM/TIGAR/TPI1/ATP5J/ATP5O/PGK2/LOC121108649/PGAM1/PFKL/PKLR/GPI/ATP5J2/AK1/ATP5H/ATP5E/ATP5G1/PFKM/ATP5B/ALDOA/ALDOA/ATP5F1AW/ATP5F1AZ/ATP5I/ALDOB",24,"BP"
"GO:0009199","ribonucleoside triphosphate metabolic process","24/973","60/11749",0.4,4.83001027749229,8.9370972326078,1.63867255045772e-11,2.65911863869731e-09,2.24239401641583e-09,"BPGM/TIGAR/TPI1/ATP5J/ATP5O/PGK2/LOC121108649/PGAM1/PFKL/PKLR/GPI/ATP5J2/AK1/ATP5H/ATP5E/ATP5G1/PFKM/ATP5B/ALDOA/ALDOA/ATP5F1AW/ATP5F1AZ/ATP5I/ALDOB",24,"BP"
"GO:0009141","nucleoside triphosphate metabolic process","24/973","69/11749",0.347826086956522,4.20000893694982,8.01057909453464,5.07159788697765e-10,7.54400185687925e-08,6.36174120910354e-08,"BPGM/TIGAR/TPI1/ATP5J/ATP5O/PGK2/LOC121108649/PGAM1/PFKL/PKLR/GPI/ATP5J2/AK1/ATP5H/ATP5E/ATP5G1/PFKM/ATP5B/ALDOA/ALDOA/ATP5F1AW/ATP5F1AZ/ATP5I/ALDOB",24,"BP"
