"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Ontology"
"GO:0045333","cellular respiration","33/743","73/11749",0.452054794520548,7.14830656907391,13.6908850087212,7.67861731834058e-21,1.24547172903484e-17,1.1113788223914e-17,"NDUFA5/ACO2/ATP5O/NDUFV3/SUCLA2/NDUFC2/CYCS/SDHA/UQCRB/COX6C/MDH1/IDH3B/NDUFS8/NDUFV1/NDUFS1/COX5A/IDH3A/UQCRFS1/COX4I1/UQCRQ/ATP5J2/UQCR10/MDH2/ATP5E/SDHB/SDHD/NDUFS2/NDUFA7/UQCR11/NDUFS7/COQ10A/ATP5B/COX7C",33,"BP"
"GO:0009060","aerobic respiration","31/743","66/11749",0.46969696969697,7.42728088421224,13.6045343271145,2.86027128619021e-20,2.31968001310026e-17,2.06993316763765e-17,"ACO2/ATP5O/NDUFV3/SUCLA2/NDUFC2/CYCS/SDHA/UQCRB/COX6C/MDH1/IDH3B/NDUFS8/NDUFV1/NDUFS1/COX5A/IDH3A/UQCRFS1/COX4I1/UQCRQ/ATP5J2/UQCR10/MDH2/ATP5E/SDHB/SDHD/NDUFS2/NDUFA7/UQCR11/NDUFS7/ATP5B/COX7C",31,"BP"
"GO:0015980","energy derivation by oxidation of organic compounds","34/743","94/11749",0.361702127659574,5.7195670227084,11.9363506198942,9.71020168560998e-18,5.24998237801979e-15,4.68474642726797e-15,"NDUFA5/ACO2/ATP5O/NDUFV3/SUCLA2/NDUFC2/CYCS/SDHA/UQCRB/COX6C/MDH1/UGP2/IDH3B/NDUFS8/NDUFV1/NDUFS1/COX5A/IDH3A/UQCRFS1/COX4I1/UQCRQ/ATP5J2/UQCR10/MDH2/ATP5E/SDHB/SDHD/NDUFS2/NDUFA7/UQCR11/NDUFS7/COQ10A/ATP5B/COX7C",34,"BP"
"GO:0006119","oxidative phosphorylation","23/743","43/11749",0.534883720930233,8.45807380512692,12.7297028581478,5.47775288333029e-17,2.22122879419043e-14,1.98208163541557e-14,"ATP5O/NDUFV3/NDUFC2/CYCS/SDHA/UQCRB/COX6C/NDUFS8/NDUFV1/NDUFS1/COX5A/UQCRFS1/COX4I1/UQCRQ/ATP5J2/UQCR10/ATP5E/SDHD/NDUFS2/NDUFA7/UQCR11/ATP5B/COX7C",23,"BP"
"GO:0006091","generation of precursor metabolites and energy","39/743","134/11749",0.291044776119403,4.60226793354894,10.8963344722656,2.01340144690263e-16,6.53147429375213e-14,5.82826734629709e-14,"NDUFA5/ACO2/ATP5O/NDUFV3/SUCLA2/NDUFC2/CYCS/SDHA/UQCRB/COX6C/MDH1/UGP2/FDX1B/IDH3B/NDUFS8/NDUFV1/NDUFB3/NDUFS1/PFKL/COX5A/IDH3A/UQCRFS1/COX4I1/UQCRQ/ATP5J2/UQCR10/MDH2/ATP5E/SDHB/SDHD/NDUFS2/NDUFA7/UQCR11/NDUFS7/COQ10A/ATP5B/NNT/COX7C/ALDOB",39,"BP"
"GO:0022900","electron transport chain","23/743","49/11749",0.469387755102041,7.42239129837669,11.7047864109842,2.31290982817945e-15,6.25256623551178e-13,5.57938774341534e-13,"NDUFA5/NDUFV3/NDUFC2/CYCS/SDHA/UQCRB/COX6C/FDX1B/NDUFS8/NDUFV1/NDUFB3/NDUFS1/COX5A/UQCRFS1/COX4I1/UQCRQ/UQCR10/SDHB/SDHD/NDUFS2/NDUFA7/UQCR11/COX7C",23,"BP"
"GO:0022904","respiratory electron transport chain","21/743","43/11749",0.488372093023256,7.72258912642023,11.4743517230839,1.40720106980083e-14,3.26068590745277e-12,2.90962627214457e-12,"NDUFA5/NDUFV3/NDUFC2/CYCS/SDHA/UQCRB/COX6C/NDUFS8/NDUFV1/NDUFS1/COX5A/UQCRFS1/COX4I1/UQCRQ/UQCR10/SDHB/SDHD/NDUFS2/NDUFA7/UQCR11/COX7C",21,"BP"
"GO:0042773","ATP synthesis coupled electron transport","19/743","37/11749",0.513513513513513,8.12014841220763,11.2703135300809,7.93545686294492e-14,1.60891387896208e-11,1.43569120875648e-11,"NDUFV3/NDUFC2/CYCS/SDHA/UQCRB/COX6C/NDUFS8/NDUFV1/NDUFS1/COX5A/UQCRFS1/COX4I1/UQCRQ/UQCR10/SDHD/NDUFS2/NDUFA7/UQCR11/COX7C",19,"BP"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","18/743","36/11749",0.5,7.9064602960969,10.7828687702811,6.60560596304309e-13,1.19047698578399e-10,1.06230505253617e-10,"NDUFV3/NDUFC2/CYCS/SDHA/UQCRB/COX6C/NDUFS8/NDUFV1/COX5A/UQCRFS1/COX4I1/UQCRQ/UQCR10/SDHD/NDUFS2/NDUFA7/UQCR11/COX7C",18,"BP"
"GO:0030198","extracellular matrix organization","23/743","66/11749",0.348484848484849,5.5105632366736,9.54744525615479,4.93435012792533e-12,7.23011358179467e-10,6.45168808810933e-10,"LAMB4/ADAMTS20/ADAMTS5/MMP13/MMP27/MMP7/MMP16/NDNF/LOC423605/ADAMTSL2L/THSD4/ADAMTS17/ADAMTS7/ADAMTS18/TGFBI/MMP23A/PDPN/P3H4/ADAMTSL5/ADAMTS12/ADAMTS6/ADAMTSL1/ADAMTS19",23,"BP"
