"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","GeneRatioNum","BgRatioNum"
"Metabolism","Global and overview maps","gga01200","Carbon metabolism","35/537","99/5944",0.00588829071332436,3.9132479355943,9.21116602239792,2.86721045531166e-13,4.5015204148393e-11,3.83300766131138e-11,"ACO2/GAPDH/TPI1/PDHA2/PRPS2/SUCLA2/SDHA/MDH1/PGK2/IDH3B/GOT1/PGAM1/PFKL/PKLR/IDH3A/MCEE/IDH2/GPT2/GPI/GCSH/GLYCTK/PGP/ACADS/MDH2/PSPH/ACSS2/SDHB/DLAT/PFKM/CS/AGXT2/PSAT1/FBP2/FBP1/ALDOB",35,35,5944
"Metabolism","Global and overview maps","gga01230","Biosynthesis of amino acids","24/537","59/5944",0.00403768506056528,4.50260392008333,8.52031448377007,5.6223707126877e-11,4.41356100945985e-09,3.75811095005968e-09,"ACO2/PAH/BCAT1/GAPDH/TPI1/PRPS2/ASNS/PGK2/IDH3B/MAT1A/GOT1/PGAM1/GLUL/CTH/PFKL/PKLR/IDH3A/IDH2/GPT2/PSPH/PFKM/CS/PSAT1/ALDOB",24,24,5944
"Metabolism","Energy metabolism","gga00190","Oxidative phosphorylation","34/537","115/5944",0.00572005383580081,3.27254473321998,7.75489918750187,1.84108282322964e-10,9.63500010823513e-09,8.20412345790051e-09,"NDUFA5/NDUFA6/NDUFB2/ATP5J/ATP5O/CYCS/SDHA/UQCRB/COX6C/NDUFA1/NDUFV1/NDUFS3/NDUFS1/COX5A/UQCRFS1/COX4I1/UQCRC1/UQCRQ/ATP5J2/NDUFAB1/NDUFB6/UQCRC2/COX6A1/ATP5H/ATP5E/SDHB/NDUFS2/ATP5G1/NDUFS7/NDUFA13/ATP5B/ATP5F1AW/ATP5F1AZ/ATP5I",34,34,5944
"Organismal Systems","Circulatory system","gga04260","Cardiac muscle contraction","23/537","69/5944",0.00386944818304172,3.68963376784606,7.08150525397805,1.38749596075248e-08,5.44592164595349e-07,4.63715755304119e-07,"CASQ2/ATP1B1/MYL3/UQCRB/COX6C/ATP1B4/SLC8A3/ACTC1/COX5A/TPM1/UQCRFS1/COX4I1/TNNC1/CACNA2D3/UQCRC1/UQCRQ/UQCRC2/MYL2/COX6A1/CACNG1/MYH7/CACNA1S/TPM2",23,23,5944
"Metabolism","Carbohydrate metabolism","gga00010","Glycolysis / Gluconeogenesis","19/537","52/5944",0.00319650067294751,4.04440624552356,6.94839869640296,4.74955798562818e-08,1.4016632955294e-06,1.19350478399084e-06,"BPGM/LDHB/GAPDH/TPI1/PDHA2/PGK2/ALDH3B1/LDHA/PGAM1/PGM1/PFKL/PKLR/GPI/ACSS2/DLAT/PFKM/FBP2/FBP1/ALDOB",19,19,5944
"Metabolism","Amino acid metabolism","gga00260","Glycine, serine and threonine metabolism","16/537","38/5944",0.00269179004037685,4.66059002254239,7.13358748685626,5.35667501476206e-08,1.4016632955294e-06,1.19350478399084e-06,"BPGM/GNMT/PGAM1/CTH/GATM/GCSH/ALAS1/GLYCTK/DAO/SARDH/PSPH/GAMT/AGXT2/DMGDH/PSAT1/GRHPR",16,16,5944
"Cellular Processes","Cell motility","gga04820","Cytoskeleton in muscle cells","43/537","213/5944",0.00723418573351279,2.23456692982226,5.78230585682507,2.63275537463947e-07,5.90489419740568e-06,5.02796891096561e-06,"LMOD2/CAPZA2/MYBPC1/ATP1B1/FHL2/MYL3/LAMA1/TRIM55/NID1/FHL1/COL4A5/COL4A6/ATP1B4/MYOZ2/PDLIM3/MYBPC3/ACTC1/INF2/PDLIM1/ANKRD1/ANKRD2/TPM1/TLN2/TNNC1/MYOZ3/MYOT/MYL2/MYH1A/MYH1B/MYH1E/MYH1C/MYH1G/MYH7/ELN/FHL3/CSRP1/MYBPHL/AMPD1/FBN3/TPM2/THBS4/FBN2/TMOD1",43,43,5944
"Metabolism","Carbohydrate metabolism","gga00020","Citrate cycle (TCA cycle)","12/537","27/5944",0.00201884253028264,4.91951169046141,6.43242727469483,1.28347989045454e-06,2.51882928501703e-05,2.14476244852272e-05,"ACO2/PDHA2/SUCLA2/SDHA/MDH1/IDH3B/IDH3A/IDH2/MDH2/SDHB/DLAT/CS",12,12,5944
"Metabolism","Amino acid metabolism","gga00270","Cysteine and methionine metabolism","15/537","45/5944",0.0025235531628533,3.68963376784606,5.70718605202447,4.78216362399631e-06,8.34221876630467e-05,7.10333076312902e-05,"BCAT1/LDHB/LACC1/MDH1/GNMT/AMD1/LDHA/MAT1A/GOT1/CTH/MDH2/AHCY/AGXT2/PSAT1/CDO1",15,15,5944
"Metabolism","Global and overview maps","gga01210","2-Oxocarboxylic acid metabolism","11/537","26/5944",0.00185060565275908,4.68299670534307,5.93078727560246,6.4848482585112e-06,0.000101812117658626,8.66921819822024e-05,"ACO2/BCAT1/PDHA2/IDH3B/GOT1/IDH3A/IDH2/GPT2/DLAT/CS/AGXT2",11,11,5944
